City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Caliling,PH,9.9804,122.4814,81.05,71,99,1.5,overcast clouds
132,Kismayo,SO,-0.3582,42.5454,78.6,77,83,15.41,broken clouds
133,Port Augusta,AU,-32.5,137.7667,48.78,79,14,4.52,few clouds
134,Ilulissat,GL,69.2167,-51.1,42.82,42,7,19.57,clear sky
135,Portland,US,45.5234,-122.6762,69.84,73,40,10.36,scattered clouds
136,Eyl,SO,7.9803,49.8164,77.9,85,67,16.69,broken clouds
137,Chokurdakh,RU,70.6333,147.9167,51.51,36,38,9.66,scattered clouds
138,Matamoros,MX,25.5333,-103.25,98.71,12,75,9.22,broken clouds
139,Tshikapa,CD,-6.4167,20.8,69.1,49,1,2.8,clear sky
140,Saint Anthony,US,45.0205,-93.218,73.76,65,100,11.5,overcast clouds
141,Inyonga,TZ,-6.7167,32.0667,59.99,60,5,5.68,clear sky
142,Maniitsoq,GL,65.4167,-52.9,46.78,55,0,9.98,clear sky
143,Cabo San Lucas,MX,22.8909,-109.9124,90.61,42,0,12.66,clear sky
144,Lata,PT,40.1629,-8.3327,53.13,95,35,1.59,scattered clouds
145,Kyren,RU,51.6828,102.1408,54.52,85,100,1.9,overcast clouds
146,Port Hardy,CA,50.6996,-127.4199,57.38,67,75,11.5,broken clouds
147,Chokwe,MZ,-24.5333,32.9833,62.28,94,8,9.15,clear sky
148,Seoul,KR,37.5683,126.9778,63.79,88,100,8.05,light rain
149,Richards Bay,ZA,-28.783,32.0377,65.46,74,92,6.64,overcast clouds
150,Todos Santos,MX,23.45,-110.2167,74.1,60,0,8.16,clear sky
151,Rakiv Lis,UA,51.6217,24.9243,53.71,91,5,5.35,clear sky
152,Valparaiso,CL,-33.0393,-71.6273,56.48,84,0,4.61,clear sky
153,Onda,ES,39.9667,-0.25,69.91,57,61,4.83,broken clouds
154,Shelburne,CA,44.0787,-80.2041,65.16,47,99,2.89,overcast clouds
155,Selvik,NO,59.5689,10.2583,55.76,76,13,2.44,few clouds
156,Chitose,JP,42.8194,141.6522,59.49,82,75,11.5,broken clouds
157,Dicabisagan,PH,17.0818,122.4157,81.54,82,78,6.96,broken clouds
158,Nazira,IN,26.9167,94.7333,74.34,94,84,2.53,broken clouds
159,Nome,US,64.5011,-165.4064,68.16,36,0,14.97,clear sky
160,Severo-Kurilsk,RU,50.6789,156.125,45.73,80,77,5.17,broken clouds
161,Rognan,NO,67.0953,15.3878,45.05,89,91,4.43,overcast clouds
162,Maceio,BR,-9.6658,-35.7353,74.64,88,75,5.75,broken clouds
163,East London,ZA,-33.0153,27.9116,60.96,77,35,11.21,scattered clouds
164,Omsukchan,RU,62.5333,155.8,59.76,44,93,5.66,overcast clouds
165,Torrington,US,41.8007,-73.1212,73.94,46,96,2.86,overcast clouds
166,Ketchikan,US,55.3422,-131.6461,63.07,59,100,6.91,overcast clouds
167,Arman,RU,59.7,150.1667,64.02,85,75,6.98,broken clouds
168,Kahului,US,20.8947,-156.47,86.02,64,0,21.85,clear sky
169,Dingle,PH,10.9995,122.6711,78.19,86,100,1.14,overcast clouds
170,Cacador,BR,-26.7753,-51.015,56.64,99,85,3.4,overcast clouds
171,Auki,SB,-8.7676,160.7034,82.6,72,97,5.41,overcast clouds
172,Conceicao Da Barra,BR,-18.5933,-39.7322,65.73,74,46,6.51,scattered clouds
173,Bandarbeyla,SO,9.4942,50.8122,78.94,84,74,21.9,broken clouds
174,Kuantan,MY,3.8077,103.326,77.11,94,20,0.0,few clouds
175,Haines Junction,CA,60.7522,-137.5108,62.55,63,100,5.75,overcast clouds
176,Teloloapan,MX,18.35,-99.85,78.44,48,100,4.12,overcast clouds
