City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Portland,US,2022-06-06 02:00:35,45.5234,-122.6762,62.62,86,95,5.01
100,Roald,NO,2022-06-06 02:05:23,62.5833,6.1333,46.76,93,32,6.91
101,Puerto Leguizamo,CO,2022-06-06 02:05:23,-0.1934,-74.7819,73.83,94,100,0.98
102,Green River,US,2022-06-06 02:05:24,41.5286,-109.4662,66.97,46,80,5.99
103,Cervo,ES,2022-06-06 02:05:24,43.6702,-7.4101,63.97,70,100,6.22
104,Ravenna,IT,2022-06-06 02:05:24,44.4167,11.9833,71.89,80,0,6.04
105,Nagahama,JP,2022-06-06 02:04:44,35.3833,136.2667,63.99,100,100,12.57
106,Khash,IR,2022-06-06 02:05:25,28.2211,61.2158,69.87,11,0,3.76
107,Hamilton,US,2022-06-06 02:04:29,39.1834,-84.5333,75.56,62,0,9.22
108,Weihai,CN,2022-06-06 02:05:25,37.5017,122.1136,68.7,77,10,11.54
109,Gondanglegi,ID,2022-06-06 02:05:25,-7.7479,112.0132,82.58,74,58,6.64
110,Havre-Saint-Pierre,CA,2022-06-06 02:05:26,50.2334,-63.5986,47.79,77,100,5.95
111,Bud,US,2022-06-06 02:05:26,39.447,-86.1758,73.42,58,82,3.06
112,Kodiak,US,2022-06-06 02:05:26,57.79,-152.4072,56.71,72,0,11.5
113,Torbay,CA,2022-06-06 02:05:27,47.6666,-52.7314,48.27,70,75,11.5
114,Avarua,CK,2022-06-06 02:02:50,-21.2078,-159.775,80.65,78,40,13.8
115,Leh,IN,2022-06-06 02:05:14,34.1667,77.5833,49.8,49,18,4.36
116,Hami,CN,2022-06-06 02:05:27,42.8,93.45,79.5,18,0,10.83
117,Kavieng,PG,2022-06-06 02:05:28,-2.5744,150.7967,84.36,66,14,3.67
118,Hasaki,JP,2022-06-06 02:05:28,35.7333,140.8333,63.0,87,100,21.97
119,Penzance,GB,2022-06-06 02:05:29,50.1186,-5.5371,56.16,88,0,8.1
120,Ondjiva,AO,2022-06-06 02:05:29,-17.0667,15.7333,49.75,59,29,7.63
121,Srednekolymsk,RU,2022-06-06 02:05:29,67.45,153.6833,53.15,37,6,14.76
122,Isangel,VU,2022-06-06 02:05:30,-19.55,169.2667,79.99,62,10,6.69
123,Pundaguitan,PH,2022-06-06 02:05:30,6.3711,126.1689,83.64,69,77,4.12
124,Nanortalik,GL,2022-06-06 02:05:31,60.1432,-45.2371,43.34,78,100,4.16
125,Kaitangata,NZ,2022-06-06 02:05:31,-46.2817,169.8464,56.82,64,0,5.1
126,Batemans Bay,AU,2022-06-06 02:05:31,-35.7167,150.1833,58.1,56,3,15.82
127,Gisborne,NZ,2022-06-06 02:05:32,-38.6533,178.0042,58.42,62,100,4.45
128,Saint-Philippe,RE,2022-06-06 02:05:32,-21.3585,55.7679,71.19,66,55,7.25
129,Cabo San Lucas,MX,2022-06-06 02:01:01,22.8909,-109.9124,88.61,67,0,14.67
130,Maralal,KE,2022-06-06 02:05:33,1.0968,36.698,54.79,78,94,1.59
131,Coahuayana,MX,2022-06-06 02:05:33,18.7333,-103.6833,77.18,83,100,2.8
132,Port Alfred,ZA,2022-06-06 02:05:33,-33.5906,26.891,54.18,91,8,11.41
133,Naze,JP,2022-06-06 02:05:34,28.3667,129.4833,73.63,94,100,23.38
134,Port Lincoln,AU,2022-06-06 02:05:34,-34.7333,135.8667,56.08,64,98,19.33
135,Constitucion,CL,2022-06-06 02:05:34,-35.3333,-72.4167,52.3,87,5,5.97
136,Henties Bay,NA,2022-06-06 02:05:35,-22.116,14.2845,72.73,32,100,16.33
137,Manzanillo,CU,2022-06-06 02:05:35,20.3433,-77.1167,78.51,75,100,6.76
138,Bandarbeyla,SO,2022-06-06 02:06:36,9.4942,50.8122,78.69,79,35,21.85
139,Erenhot,CN,2022-06-06 02:06:36,43.6475,111.9767,59.09,43,5,2.57
140,Quatre Cocos,MU,2022-06-06 02:06:36,-20.2078,57.7625,69.1,80,68,9.31
141,Jamestown,US,2022-06-06 02:06:37,42.097,-79.2353,60.44,44,100,4.61
142,East London,ZA,2022-06-06 02:06:37,-33.0153,27.9116,61.0,79,9,12.19
143,Yamada,JP,2022-06-06 02:06:38,39.4667,141.95,52.05,91,100,3.24
144,San Benito,US,2022-06-06 02:06:38,36.6166,-121.0844,68.86,51,3,8.63
145,Aksu,CN,2022-06-06 02:06:38,41.1231,80.2644,75.16,18,100,4.14
146,Nikolskoye,RU,2022-06-06 02:06:39,59.7035,30.7861,51.8,94,100,4.43
147,Livingston,GB,2022-06-06 02:06:39,55.9029,-3.5226,50.27,93,75,2.3
148,Maumere,ID,2022-06-06 02:06:40,-8.6199,122.2111,84.4,68,55,3.74
149,Olinda,BR,2022-06-06 02:03:20,-8.0089,-34.8553,74.93,88,40,4.61
150,Ust-Nera,RU,2022-06-06 02:06:40,64.5667,143.2,69.6,36,36,9.1
151,Jumla,NP,2022-06-06 02:03:04,29.2747,82.1838,66.42,41,2,2.82
