City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,Laguna,US,81.07,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
490,Tabuk,PH,77.97,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
492,Phan Thiet,VN,78.26,scattered clouds,10.9333,108.1,Hotel Saigon-PT
494,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
495,Tomatlan,MX,83.14,clear sky,19.9333,-105.25,El Salvial
497,Santa Barbara,US,86.34,broken clouds,34.7333,-120.0343,Upper Ballard Campground
498,Callaway,US,78.96,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
499,Madang,PG,80.08,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
507,Garissa,KE,75.52,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
513,Winneba,GH,77.85,light rain,5.3511,-0.6231,Windy Lodge & Beach Resort
517,Port Hueneme,US,88.79,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
518,Tautira,PF,80.33,broken clouds,-17.7333,-149.15,Pension Oaoa
519,Cockburn Town,TC,82.36,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
522,Sao Miguel Do Araguaia,BR,75.67,clear sky,-13.275,-50.1628,Hotel Executivo Palace
532,Aztec,US,87.21,broken clouds,36.8222,-107.9929,Presidential Inn & Suites
537,Rongcheng,CN,76.87,broken clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
541,West Wendover,US,78.01,scattered clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
544,Namatanai,PG,84.0,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
550,Camocim,BR,75.81,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
552,High Level,CA,75.31,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
553,Srikakulam,IN,81.99,scattered clouds,18.3,83.9,Micro Systems
560,Calatagan,PH,83.5,broken clouds,13.8833,120.65,Coral Bay Rest House
